cid	name	show_name	sort	last_sort	icon	icon_d	putao_icon_logo	target_activity	target_params	parent_id	remind_code	key_tag	search_sort
51	社交娱乐	zh_CN:社交娱乐;en_US:Entertaiment;zh_TW:社交娛樂	0	-1						0	1		
2	常用	zh_CN:快捷服务;en_US:Quick service;zh_TW:快捷服務	1	-1						0	2		
1	全部	zh_CN:全部服务;en_US:All service;zh_TW:全部服務	2	-1						0	3		
104	火车票	zh_CN:火车票;en_US:TrainTicket;zh_TW:火车票	1	1	putao_icon_quick_hcjp	putao_icon_quick_hcjp_d	putao_icon_quick_hcjp_s	so.contacts.hub.train.YellowPageBookTrainTicketActivity		2	29	火车,车票,火车票,回家,过年	1
61	充话费	zh_CN:充话费;en_US:Telephone fare;zh_TW:充话费	2	2	putao_icon_quick_chonghf	putao_icon_quick_chonghf_d	putao_icon_quick_chonghf_s	so.contacts.hub.ui.yellowpage.YellowPageReChargeActivity		2	6	查余额,余额,充话费,话费,联通,移动,电信,运营商,充值,电话,扣费	2
19	打车	zh_CN:打车;en_US:Taxi;zh_TW:打車	3	3	putao_icon_quick_dd	putao_icon_quick_dd_d	putao_icon_quick_dd_s	so.contacts.hub.ui.web.YellowPageKuaidiActivity	{"provider":5,"title":"打车","url":"http://api.kuaidadi.com:9898/taxi/h5/index.htm?source=putaoxinxi&key=yruwioqpkdlmncvfw2ejd&order2pay=true&orderHis=true&home400=false"}	2	7	打车,打的,的士,出租,出租车,滴滴,嘀嘀,快的,叫车,大黄蜂,易到,用车,招车,专车	1
105	水电煤	zh_CN:水电煤;en_US:TrainTicket;zh_TW:水電煤	4	4	putao_icon_quick_sdm	putao_icon_quick_sdm_d	putao_icon_quick_sdm_s	so.contacts.hub.shuidianmei.YellowPageWaterEGActivity		2	30	水费,电费,煤气费,缴费	1
103	订酒店	zh_CN:订酒店;en_US:Book Hotel;zh_TW:訂酒店	5	5	putao_icon_quick_djd	putao_icon_quick_djd_d	putao_icon_quick_djd_s	so.contacts.hub.ui.yellowpage.YellowPageHotelActivity		2	10	订酒店,酒店,旅馆,旅宿,住宿,住店,酒店预订,订房,开房,房,特价,限时,旅店,旅社,公寓,快捷,商务,预定,	1
56	看电影	zh_CN:看电影;en_US:Movie;zh_TW:看電影	6	6	putao_icon_quick_kdy	putao_icon_quick_kdy_d	putao_icon_quick_kdy_s	so.contacts.hub.thirdparty.cinema.ui.YellowPageMovieListActivity		2	15	看电影,电影票,电影院,电影,热门电影,选座,优惠,影院,院线,影城,imax,IMAX,3D,3d,预定	1
60	我的	zh_CN:我的;en_US:Favorite;zh_TW:我的	999	999	putao_icon_quick_wd	putao_icon_quick_wd_d		so.contacts.hub.ui.yellowpage.YellowPageMyActivity		2	11		
8	出行	zh_CN:出行;en_US:Ticket;zh_TW:出行	1	1	putao_icon_quick_cxdp	putao_icon_quick_cxdp_d	putao_icon_quick_cxdp_s			1	13		
15	酒店	zh_CN:酒店;en_US:Hotel;zh_TW:酒店	2	2	putao_icon_quick_jd	putao_icon_quick_jd_d	putao_icon_quick_jd_s			1	12		
16	查余额	zh_CN:查余额;en_US:Balance;zh_TW:查餘額	3	3	putao_icon_quick_chf	putao_icon_quick_chf_d	putao_icon_quick_chf_s	so.contacts.hub.ui.yellowpage.YellowPageNewQueryChargeActivity		1	5	查余额,余额,充话费,话费,联通,移动,电信,运营商,充值,电话,扣费	1
